paper_id,TAM,UTAUT,STS,TOE,RBV,Dynamic_Capabilities,IDT,Stakeholder_Theory,Just_Digital,dominant_dt_theory,SDG6_Water,SDG7_Energy,dominant_sdg,sdg_margin,method,outcome,outcomes_all
SDG6-65,0.115487106,0.22192515,0.30040705,0.26168868,0.2886352,0.26640177,0.13568647,0.29231122,0.13260192,STS,0.46685284,0.23599401,SDG6_Water,0.23085883,regression,access,access|efficiency|governance|sustainability|resilience|productivity|quality|equity
SDG6-175,0.13101046,0.20445086,0.096205726,0.21570039,0.26783556,0.13345374,0.10334406,0.35804838,0.0039763944,Stakeholder_Theory,0.26230502,0.16852742,SDG6_Water,0.0937776,regression,access,access|efficiency|governance|sustainability|resilience|quality|equity
SDG6-91,0.12114098,0.20179495,0.17202823,0.18207917,0.23352706,0.116594486,0.0757052,0.29018065,0.12949707,Stakeholder_Theory,0.4822023,0.095027804,SDG6_Water,0.3871745,regression,access,access|efficiency|governance|sustainability|productivity|quality
SDG6-77,0.13945386,0.25773042,0.15357262,0.26224053,0.48983955,0.24010596,0.22866786,0.26819324,0.09448519,RBV,0.33138776,0.14459124,SDG6_Water,0.18679652,regression,access,access|efficiency|governance|sustainability|productivity|quality|equity
SDG6-36,0.19953075,0.29779717,0.22685832,0.22366224,0.29129744,0.13999365,0.1436805,0.23512027,0.12735763,UTAUT,0.46467894,0.16527823,SDG6_Water,0.29940072,regression,access,access|efficiency|sustainability|resilience|productivity|quality
SDG6-199,0.16401458,0.18076131,0.14039725,0.17438585,0.36023796,0.13963298,0.1773132,0.16937019,0.014942526,RBV,0.3571049,0.13145062,SDG6_Water,0.22565427,regression,access,access|efficiency|sustainability|resilience|quality|equity
SDG6-127,0.11777586,0.22525805,0.13202044,0.26721898,0.44140673,0.21710527,0.20308408,0.29888326,0.039795194,RBV,0.30699348,0.086713575,SDG6_Water,0.2202799,unknown,efficiency,efficiency|quality|equity
SDG6-07,0.290367,0.27403402,0.06786345,0.30154458,0.20508102,0.14977013,0.30173612,0.1205745,0.05069748,IDT,0.16201788,0.010104464,SDG6_Water,0.15191342,sem,access,access|efficiency|governance|sustainability|quality
SDG6-06,0.290367,0.27403402,0.06786345,0.30154458,0.20508102,0.14977013,0.30173612,0.1205745,0.05069748,IDT,0.16201788,0.010104464,SDG6_Water,0.15191342,sem,access,access|efficiency|governance|sustainability|quality
SDG6-56,0.013900882,-0.03348026,-0.052792802,0.02402019,0.043247685,0.026582824,0.023231996,0.06585842,-0.012498839,Stakeholder_Theory,0.34059972,0.11523047,SDG6_Water,0.22536924,unknown,access,access|efficiency|quality
SDG6-111,0.049154848,0.04415241,-0.0723301,-0.10729374,0.02097411,0.025569817,-0.0042317603,-0.015120813,0.0420978,TAM,0.15839267,0.016735775,SDG6_Water,0.14165689,unknown,access,access
SDG6-168,0.14234062,0.15484852,0.0377144,0.14735112,0.12880324,0.0029949248,0.20086905,-0.04170287,-0.0067923516,IDT,0.111885,0.09800782,SDG6_Water,0.013877176,regression,access,access|sustainability|quality
SDG6-202,0.241027,0.048933093,0.31031883,0.29101038,0.24497586,0.19958884,0.2419107,0.08103508,0.042982757,STS,0.12457945,0.1389935,SDG7_Energy,-0.01441405,unknown,access,access
SDG6-110,0.20398729,0.13432744,0.17772178,0.25659865,0.12567668,0.14572887,0.19722208,0.050801795,0.0017184746,TOE,0.2185188,0.17614585,SDG6_Water,0.042372942,sem,access,access|sustainability|quality
SDG6-93,0.27173698,0.15283084,0.26816997,0.39293915,0.19975848,0.1624248,0.30785507,0.22329801,0.10990311,TOE,0.46765518,0.26204377,SDG6_Water,0.20561141,sem,access,access|efficiency|sustainability|resilience|productivity|quality
SDG6-83,0.44762692,0.27115783,0.1733574,0.3432585,0.1915066,0.13029593,0.31711155,0.1841118,0.1514963,TAM,0.24355626,0.103090875,SDG6_Water,0.14046538,unknown,access,access|efficiency|sustainability|productivity|quality
SDG6-133,0.08934612,0.093901634,0.12381225,0.090977535,0.07734804,0.14788549,0.06883617,0.12452348,-0.08005804,Dynamic_Capabilities,0.23996623,0.15628487,SDG6_Water,0.08368136,sem,access,access|efficiency|sustainability|productivity|quality
SDG6-50,0.036829825,-0.14312243,-0.05815345,0.039929844,0.044615928,0.104011156,-0.07205444,0.055390142,0.013658643,Dynamic_Capabilities,0.25737375,0.16311508,SDG6_Water,0.094258666,unknown,access,access|efficiency|quality
