theory,variant,spearman_rho,p,mean_sim
TAM,minimal,0.9292574616733473,6.808051658830494e-199,0.18824005126953125
TAM,standard,0.9999999685677713,0.0,0.18763917684555054
TAM,extended,0.9582401145088693,1.6344790030385549e-249,0.18865424394607544
UTAUT,minimal,0.7132340592470495,3.157706133410359e-72,0.1272338479757309
UTAUT,standard,0.9999999685677713,0.0,0.14516450464725494
UTAUT,extended,0.8690841047562028,3.5047341204957484e-141,0.18071717023849487
TOE,minimal,0.8939353053683518,1.0941777332683178e-160,0.2477744221687317
TOE,standard,0.9999999685677713,0.0,0.21819472312927246
TOE,extended,0.9633223288050706,4.424248417021383e-262,0.2444976419210434
Dynamic_Capabilities,minimal,0.8387614331198072,3.3679411785660415e-122,0.19758155941963196
Dynamic_Capabilities,standard,0.9999999685677713,0.0,0.21367867290973663
Dynamic_Capabilities,extended,0.8567840447740795,5.898515205411241e-133,0.20087358355522156
